Id,date,sessions_per_day,energy_per_day_kWh,avg_duration_min,avg_power_kW_day,dow,is_weekend,month,year,week,CH_SPEED,CH_TYPE,CON_TYPE,CP_CHARGE,USAGE_,OUTPUT1_kW,OUTPUT2_kW,lon,lat
50245,2018-06-12,4,30.118,27,18.8738075978622,Di,FALSE,Jun,2018,24,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-07-09,5,43.536,23.2,23.011940221069253,Mo,FALSE,Jul,2018,28,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-07-10,4,33.219,28.5,14.006551724137932,Di,FALSE,Jul,2018,28,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-07-11,2,17.4,23.5,29.203508771929826,Mi,FALSE,Jul,2018,28,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-07-12,4,39.59,23,26.24157967032967,Do,FALSE,Jul,2018,28,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-08-09,5,78.67,28,35.046214423874,Do,FALSE,Aug,2018,32,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-08-10,3,8.03,14.666666666666666,10.516933638443936,Fr,FALSE,Aug,2018,32,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-08-11,3,37.6,32.333333333333336,27.636887089518666,Sa,FALSE,Aug,2018,32,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-08-12,5,54.599999999999994,25.2,26.353565668202762,So,FALSE,Aug,2018,32,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-09,4,60.165,124.75,12.837340184611856,So,FALSE,Sep,2018,36,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-10,5,27.900000000000002,14.8,19.99246153846154,Mo,FALSE,Sep,2018,37,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
